,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
188,15_1,9/1/2019,25274,1933407716,0,0,Rangareddy,Sep,Q2,2019
189,17_1,9/1/2019,2251,29548372,0,0,Medak,Sep,Q2,2019
190,21_3,9/1/2019,2452,30412836,0,0,Jangoan,Sep,Q2,2019
191,15_3,9/1/2019,2078,21904010,0,0,Vikarabad,Sep,Q2,2019
192,14_1,10/1/2019,4289,62143167,0,0,Mahabubnagar,Oct,Q3,2019
193,17_3,10/1/2019,5139,53915598,0,0,Siddipet,Oct,Q3,2019
194,20_3,10/1/2019,2155,20876708,0,0,Rajanna Sircilla,Oct,Q3,2019
195,21_5,10/1/2019,1224,15367793,0,0,Mahabubabad,Oct,Q3,2019
196,23_1,10/1/2019,6399,77880007,0,0,Nalgonda,Oct,Q3,2019
197,23_3,10/1/2019,8233,120542910,0,0,Yadadri Bhuvanagiri,Oct,Q3,2019
198,20_1,10/1/2019,3265,66449860,0,0,Karimnagar,Oct,Q3,2019
199,20_4,10/1/2019,2008,25252869,0,0,Peddapalli,Oct,Q3,2019
200,16_1,10/1/2019,4603,612956204,0,0,Hyderabad,Oct,Q3,2019
201,14_3,10/1/2019,2965,23957219,0,0,Nagarkurnool,Oct,Q3,2019
202,15_2,10/1/2019,12870,960760982,0,0,Medchal_Malkajgiri,Oct,Q3,2019
203,21_6,10/1/2019,692,5598122,0,0,Mulugu,Oct,Q3,2019
204,22_2,10/1/2019,712,12677945,0,0,Bhadradri Kothagudem,Oct,Q3,2019
205,20_2,10/1/2019,2180,24713520,0,0,Jagtial,Oct,Q3,2019
206,14_2,10/1/2019,1909,15821250,0,0,Jogulamba Gadwal,Oct,Q3,2019
207,21_2,10/1/2019,1011,11442985,0,0,Warangal,Oct,Q3,2019
208,22_1,10/1/2019,4220,81248954,0,0,Khammam,Oct,Q3,2019
209,17_2,10/1/2019,7535,322031312,0,0,Sangareddy,Oct,Q3,2019
210,23_2,10/1/2019,2864,48430668,0,0,Suryapet,Oct,Q3,2019
211,19_4,10/1/2019,239,3877226,0,0,Kumurambheem Asifabad,Oct,Q3,2019
212,19_3,10/1/2019,1635,26801116,0,0,Mancherial,Oct,Q3,2019
213,18_2,10/1/2019,2548,21200384,0,0,Kamareddy,Oct,Q3,2019
214,19_1,10/1/2019,881,10277285,0,0,Adilabad,Oct,Q3,2019
215,14_5,10/1/2019,1595,11858788,0,0,Narayanpet,Oct,Q3,2019
216,14_4,10/1/2019,2576,16297175,0,0,Wanaparthy,Oct,Q3,2019
217,18_1,10/1/2019,4583,60778637,0,0,Nizamabad,Oct,Q3,2019
218,19_2,10/1/2019,1596,16085446,0,0,Nirmal,Oct,Q3,2019
219,21_1,10/1/2019,4847,143239985,0,0,Hanumakonda,Oct,Q3,2019
220,15_1,10/1/2019,24410,1808694819,0,0,Rangareddy,Oct,Q3,2019
221,17_1,10/1/2019,2309,27481586,0,0,Medak,Oct,Q3,2019
222,21_3,10/1/2019,2302,28389435,0,0,Jangoan,Oct,Q3,2019
223,15_3,10/1/2019,2061,29631359,0,0,Vikarabad,Oct,Q3,2019
224,14_1,11/1/2019,4102,60830591,0,0,Mahabubnagar,Nov,Q3,2019
225,17_3,11/1/2019,4666,38005955,0,0,Siddipet,Nov,Q3,2019
